time	event_type	event	left	right	bottom	top
11.536	stimulus	1a	0.283	0.384	0.412	0.582
16.536	stimulus	1b	0.616	0.718	0.412	0.582
25.536	stimulus	2a	0.283	0.384	0.412	0.582
32.536	stimulus	2b	0.616	0.718	0.412	0.582
45.536	stimulus	1a	0.283	0.384	0.412	0.582
52.536	stimulus	1b	0.616	0.718	0.412	0.582
63.536	stimulus	2a	0.283	0.384	0.412	0.582
70.536	stimulus	2b	0.616	0.718	0.412	0.582
80.536	stimulus	1a	0.283	0.384	0.412	0.582
92.536	stimulus	1b	0.616	0.718	0.412	0.582
99.536	stimulus	2a	0.283	0.384	0.412	0.582
106.536	stimulus	2b	0.616	0.718	0.412	0.582
115.536	stimulus	1a	0.283	0.384	0.412	0.582
123.536	stimulus	1b	0.616	0.718	0.412	0.582
134.536	stimulus	2a	0.283	0.384	0.412	0.582
140.536	stimulus	2b	0.616	0.718	0.412	0.582
145.536	stimulus	1a	0.283	0.384	0.412	0.582
154.536	stimulus	1b	0.616	0.718	0.412	0.582
165.536	stimulus	2a	0.283	0.384	0.412	0.582
174.536	stimulus	2b	0.616	0.718	0.412	0.582
182.536	stimulus	1a	0.283	0.384	0.412	0.582
192.536	stimulus	1b	0.616	0.718	0.412	0.582
197.536	stimulus	2a	0.283	0.384	0.412	0.582
201.536	stimulus	2b	0.616	0.718	0.412	0.582
208.536	stimulus	1a	0.283	0.384	0.412	0.582
218.536	stimulus	1b	0.616	0.718	0.412	0.582
228.536	stimulus	2a	0.283	0.384	0.412	0.582
237.536	stimulus	2b	0.616	0.718	0.412	0.582
247.536	stimulus	1a	0.283	0.384	0.412	0.582
251.536	stimulus	1b	0.616	0.718	0.412	0.582
258.536	stimulus	2a	0.283	0.384	0.412	0.582
265.536	stimulus	2b	0.616	0.718	0.412	0.582
273.536	stimulus	1a	0.283	0.384	0.412	0.582
284.536	stimulus	1b	0.616	0.718	0.412	0.582
290.536	stimulus	2a	0.283	0.384	0.412	0.582
298.536	stimulus	2b	0.616	0.718	0.412	0.582
307.536	stimulus	1a	0.283	0.384	0.412	0.582
311.536	stimulus	1b	0.616	0.718	0.412	0.582
11.536	virtual	S	NA	NA	NA	NA
17.536	response	R	NA	NA	NA	NA
26.500	response	R	NA	NA	NA	NA
27.168	response	R	NA	NA	NA	NA
27.432	response	R	NA	NA	NA	NA
33.868	response	R	NA	NA	NA	NA
46.368	response	R	NA	NA	NA	NA
46.600	response	R	NA	NA	NA	NA
46.968	response	R	NA	NA	NA	NA
47.168	response	R	NA	NA	NA	NA
47.368	response	R	NA	NA	NA	NA
47.568	response	R	NA	NA	NA	NA
47.732	response	R	NA	NA	NA	NA
47.900	response	R	NA	NA	NA	NA
48.068	response	R	NA	NA	NA	NA
48.232	response	R	NA	NA	NA	NA
48.400	response	R	NA	NA	NA	NA
48.568	response	R	NA	NA	NA	NA
48.732	response	R	NA	NA	NA	NA
48.900	response	R	NA	NA	NA	NA
49.068	response	R	NA	NA	NA	NA
49.268	response	R	NA	NA	NA	NA
49.432	response	R	NA	NA	NA	NA
49.600	response	R	NA	NA	NA	NA
49.800	response	R	NA	NA	NA	NA
49.968	response	R	NA	NA	NA	NA
50.168	response	R	NA	NA	NA	NA
50.500	response	R	NA	NA	NA	NA
50.700	response	R	NA	NA	NA	NA
